compound_id	compound_name	compound_unii
419	CLOPAMIDE	17S83WON0I
420	CYCLOPENTHIAZIDE	VX4S2N85F5
421	DELAPRIL	W77UAL9THI
422	DIMEMORFAN	623OAC38YU
423	DOPEXAMINE	398E7Z7JB5
425	EBASTINE	TQD7Q784P1
426	EDARAVONE	S798V6YJRP
427	EFONIDIPINE	40ZTP2T37Q
428	EPALRESTAT	424DV0807X
429	EPERISONE	2M2P0551D3
430	ERDOSTEINE	76J0853EKA
431	ETIZOLAM	A76XI0HL37
434	FUDOSTEINE	UR9VPI71PT
435	GALLOPAMIL	39WPC8JHR8
436	GAMOLENIC ACID	78YC2MAX4O
437	GARENOXACIN	V72H9867WB
438	GESTRINONE	1421533RCM
440	HEXOPRENALINE	G9L6B3W684
442	IGURATIMOD	4IHY34Y2NV
443	IMIDAFENACIN	XJR8Y07LJO
444	IOMEPROL	17E17JBP8L
447	LAFUTIDINE	49S4O7ADLC
448	LANDIOLOL	62NWQ924LH
451	LOMERIZINE	DEE37CY4VO
452	LOXOPROFEN	3583H0GZAP
453	LULICONAZOLE	RE91AN4S8G
454	MANIDIPINE	6O4754US88
455	MENATETRENONE	27Y876D139
457	MIZOLASTINE	244O1F90NA
458	MIZORIBINE	4JR41A10VP
460	MOLSIDOMINE	D46583G77X
463	NADIFLOXACIN	6CL9Y5YZEQ
464	NAFTOPIDIL	R9PHW59SFN
465	OLPRINONE	4Y8BMI9YGC
466	OPIPRAMOL	D23ZXO613C
467	OXATOMIDE	J31IL9Z2EE
468	OZAGREL	L256JB984D
469	PAZUFLOXACIN	4CZ1R38NDI
470	PENTAERYTHRITOL TETRANITRATE	10L39TRG1Z
473	PRULIFLOXACIN	J42298IESW
474	QUINACRINE HYDROCHLORIDE	G6242H2NAA
475	SERATRODAST	4U58JM421N
476	SOFALCONE	2B668TJX8E
477	STIRIPENTOL	R02XOT8V8I
479	SUPLATAST	4T0HO29O56
480	TALIPEXOLE	7AM2J46Z1Y
482	TETRAPRENYLACETONE	57B67OXM8F
483	TIAPRIDE	LAH70H9JPH
484	TIBOLONE	FF9X0205V2
486	TRAPIDIL	EYG5Y6355E
487	TREOSULFAN	CO61ER3EPI
489	TROXIPIDE	W6QJX1Q00Z
490	URAPIDIL	A78GF17HJS
492	XIPAMIDE	4S9EY0NUEC
493	ZALTOPROFEN	H8635NG3PY
495	AMOSULALOL	C69JI1BAU8
496	BEFUNOLOL	418546MT3A
498	BROVINCAMINE	AYN5T18K5R
499	CEFROXADINE	B908C4MV2R
500	CROCONAZOLE	446254H55G
501	DEFLAZACORT	KR5YZ6AE4B
502	DOCARPAMINE	RPQ57D8S72
503	EGUALEN	17VM9WN49U
504	EPTAZOCINE	2208ZLI77S
505	ETHYL LOFLAZEPATE	VJB5FW9W9J
506	FALECALCITRIOL	G70A8514T8
509	INDISETRON	89RBZ66NVC
510	LORMETAZEPAM	GU56C842ZA
511	MEXAZOLAM	S5969B6237
512	NIPRADILOL	FVM336I71Y
514	OMOCONAZOLE	GQ8ADD54E1
515	OXITROPIUM	8G15T83E6I
516	PIMOBENDAN	34AP3BBP9T
517	PLAUNOTOL	MV715X4634
521	TEMOCILLIN	03QB156W6I
522	TILISOLOL	QUF41MF56G
526	BIMOSIAMOSE	97B5KCW80W
527	CINEPAZIDE	67Y4P5C84X
528	DIPHENCYPRONE	I7G14NW5EC
530	GEFARNATE	1ISE2Y6ULA
531	GESTODENE	1664P6E6MI
533	BECATECARIN	A60X6MBU6G
540	ACETARSOL	806529YU1N
555	ANETHOLE	Q3JEK5DO4K
557	ASPOXICILLIN	0745KNO26J
559	ATIPAMEZOLE	03N9U5JAF6
560	BALOFLOXACIN	Q022B63JPM
563	BENDAZAC	G4AG71204O
567	BETAMIPRON	3W0M245736
571	BROXURIDINE	G34N38R2N1
573	BUFOGENIN	3K654P2M4J
574	BUFORMIN	W2115E9C7B
576	CARBARIL	R890C8J3N1
577	CARBAZOCHROME SALICYLATE	3H4OD401LF
578	CARBOQUONE	1CB0HBT12C
579	CARMOFUR	HA82M3RAB2
580	CARPRONIUM	X6UK728GLZ
583	CEFTEZOLE	2Z86SYP11W
584	CEFTIOFUR	83JL932I1C
586	CEPHALORIDINE	LVZ1VC61HB
589	CHROMONAR	R0C9NIE5JJ
590	CIANIDANOL	8R1V1STN48
591	CILOMILAST	8ATB1C1R6X
592	CLOBETASONE	LT69WY1J6D
593	CLOBUTINOL	1NY2IX043A
596	CLOTHIAPINE	Z05HCY0X1T
600	DIAMTHAZOLE DIHYDROCHLORIDE	3LF09TBB5W
604	DILOXANIDE	89134SCM7M
605	DINITOLMIDE	AOX68RY4TV
606	DIPYRITHIONE	9L87N86R9A
607	EFLOXATE	CZU6V3902K
609	ENROFLOXACIN	3DX3XEK1BN
610	EPIRIZOLE	3B46O2FH8I
611	EPITIOSTANOL	YE7586973L
613	EPRISTERIDE	39517A04PS
615	ETHENZAMIDE	L929ZCK4BF
618	FASORACETAM	42O8UF5CJB
619	FEBANTEL	S75C401OS1
621	FENTIAZAC	0YHF6E6NLS
622	FEPRAZONE	7BVX6J0CGR
624	FLEROXACIN	N804LDH51K
625	FLOPROPIONE	05V5NVB5Y1
626	FLUPREDNIDENE	FA517NS3N7
627	FOMINOBEN	TJ2KK6NYJS
633	GLYCLOPYRAMIDE	KE474IKG1W
635	HEXETIDINE	852A84Y8LS
637	HYMECROMONE	3T5NG4Q468
641	IOTROXIC ACID	84C5PTP9X6
647	LEMILDIPINE	R3BD0YW4ZF
649	LYNESTRENOL	N2Z8ALG4U5
651	MALOTILATE	RV59PND975
652	MEBHYDROLIN	9SUK9B7XVY
655	MEFRUSIDE	X1NS9SNS92
656	MELENGESTROL	BX98J4T6JU
658	MELITRACEN	Q7T0Y1109Z
670	NICOMOL	215U8X2R44
671	NIFEKALANT	5VZ7GZM43E
673	NIMETAZEPAM	4532264KW6
678	NORFENEFRINE	D2P3M6SRN5
679	NYLIDRIN	695DKH33EI
680	OLEANDOMYCIN	P8ZQ646136
685	OXENDOLONE	MN4I850D4P
686	OXETHAZAINE	IP8QT76V17
689	PARALDEHYDE	S6M3YBG8QA
692	PERFLENAPENT	483AU1Y5CZ
694	PERLAPINE	4N8UJJ27IM
695	PHENETURIDE	878CEJ4HGX
699	PILSICAINIDE	AV0X7V6CSE
701	PIPERIDOLATE	RJO31255V9
704	PRANOPROFEN	2R7O1ET613
706	PROPENTOFYLLINE	5RTA398U4H
707	PROPICILLIN	8X1R260V33
708	PROPIVERINE	468GE2241L
709	PROPYPHENAZONE	OED8FV75PY
710	PROTIONAMIDE	76YOO33643
712	PROXYPHYLLINE	13G1DMN4P0
713	PYRICARBATE	81R511UV73
717	ROLITETRACYCLINE	GH9IW85221
718	ROXARSONE	H5GU9YQL7L
722	SISOMICIN	X55XSL74YQ
723	SITAFLOXACIN	9TD681796G
724	SOBUZOXANE	R1308VH37P
728	SULBENICILLIN	Q2VYF0562D
730	SULBUTIAMINE	42NCM1BW43
731	SULFAGUANIDINE	15XQ8043FN
732	SULFAMETHOXYPYRIDAZINE	T034E4NS2Z
734	SULFAMONOMETHOXINE	U700P169W2
738	SUXIBUZONE	86TDZ5WP2B
740	SYROSINGOPINE	PPG46JF0EG
742	TAZANOLAST	T0248823H1
743	TEGAFUR	1548R74NSZ
744	TENATOPRAZOLE	RE0689TX2K
745	TESAGLITAZAR	6734037O3L
749	TIMIPERONE	626DQ7N19L
750	TINORIDINE	C9Z9ICZ7YR
751	TOBORINONE	1U1N0YXM99
753	TRENBOLONE	P53R4420TR
754	TREPIBUTONE	H1187LU49Q
756	TRIBENOSIDE	Z7N0Y673NU
757	TROXACITABINE	60KQZ0388Y
761	ZERANOL	76LO2L2V39
762	AFLOQUALONE	CO4U2C8ORZ
763	ALMINOPROFEN	0255AHR9GJ
765	BEMEGRIDE	57DQA39DO2
766	BENPROPERINE	3AA6IZ48YK
767	BOLANDIOL DIPROPIONATE	595CNE7RHB
770	BUDRALAZINE	S0177QHV2B
771	BUFETOLOL	WS1467RT9Z
772	BUTOCTAMIDE	6MDC25LQSR
773	BUTROPIUM	7WSK03KXXW
777	CEFBUPERAZONE	T0785J3X40
778	CEFLUPRENAM	098633Q42P
781	CLOREXOLONE	Q2PLT3FS05
782	CLOXAZOLAM	GYL649Z0HY
784	CYCOTIAMINE	FT8753F8R9
785	DEPRODONE	Z380L7N00P
789	EMORFAZONE	V93U9DH62C
790	ETIFELMINE	1ZFB1FR98E
793	FLOCTAFENINE	O04HVX6A9Q
794	FLUTAZOLAM	5G2K7O5D8S
795	FLUTOPRAZEPAM	2GHY1101MM
797	GEMEPROST	45KZB1FOLS
798	GESTONORONE	H4G605B7VP
799	GIMATECAN	7KKS9R192F
800	GIMERACIL	UA8SE1325T
801	HALOXAZOLAM	M448L2V8XP
803	IOBENZAMIC ACID	F72UWG2SWK
804	IOBITRIDOL	182ECH14UH
805	ISOAMINILE	R4823W2PQL
808	LENAMPICILLIN	8M568DM08K
809	LENAPENEM	D6NBQ3H12U
811	LOPRAZOLAM	759N8462G8
812	MAZATICOL	I6X824OGWZ
813	MEBEZONIUM	26849YC38E
816	MESTEROLONE	0SRQ75X9I9
817	MESULFEN	EG6V6W7WDD
820	NETICONAZOLE	KVL61ZF9UO
822	NORMETHADONE	KR2L2A68XL
824	OBERADILOL	7ZNX9ET039
826	ORNOPROSTIL	I4LK9LH4DJ
827	OXAZOLAM	1V2WI2NA1C
828	PANIPENEM	W9769W09JF
831	PERZINFOTEL	FX5AUU7Z8T
832	PHOLCODINE	LPP64AWZ7L
835	RANIMUSTINE	RYH2T97J77
836	REPIRINAST	4K8KA8B61G
838	RETASPIMYCIN	BZF2ZM0I5Z
839	RITIPENEM	D4SL77931L
841	SETIPTILINE	7L38105Z6E
842	SIMETRIDE	QU6P2P8XLW
843	SIMFIBRATE	L2R75RQX26
846	TILMACOXIB	G6VI5P84SX
849	TRIPAMIDE	G36A0E9CVT
850	UFENAMATE	8Z7O7C1SLZ
852	VESNARINONE	5COW40EV8M
857	ROSIN	88S87KL877
859	CANTHARIDIN	IGL471WQ8P
861	LYCOPENE	SB0N2N0WV6
862	2-DEOXYGLUCOSE	9G2MP84A8W
865	5α-ANDROST-16-EN-3-ONE	BWD3D5941J
868	ACONITIC ACID	93371T1BXP
870	CAPTAN	EOL5G26Q9F
871	CETYL ALCOHOL	936JST6JCN
875	DIPHENYLGUANIDINE	6MRZ85RNHQ
876	ETHOHEXADIOL	M9JGK7U88V
878	FLAVIN MONONUCLEOTIDE	7N464URE7E
881	GLYCOL SALICYLATE	3I1VBB7AXH
882	ACRISORCIN	2U918O4BEV
884	IMIDUREA	M629807ATL
885	IODOANTIPYRINE	V30V6H1QX4
891	METHYLDOPA ANHYDROUS	M4R0H12F6M
892	MORPHOLINYLMERCAPTOBENZOTHIAZOLE	VCD7623F3K
893	N-ACETYLMANNOSAMINE	FPD5WTK4TS
894	N-ACETYLTYROSINE	DA8G610ZO5
895	N-CYCLOHEXYL-2-BENZOTHIAZOSULFENAMIDE	UCA53G94EV
899	PHENOXYACETIC ACID	YRC253429Q
902	RESORCINOL	YUL4LO94HK
905	SACCHARIN	FST467XS7D
911	STEARYL ALCOHOL	2KR89I4H1Y
936	BUTYLSCOPOLAMINE	2Z3E1OF81V
937	O-PHTHALALDEHYDE	4P8QP9768A
938	SANTONIN	1VL8J38ERO
939	SQUALANE	GW89575KF9
946	2,2'-DITHIOBISBENZOTHIAZOLE	6OK753033Z
950	ALIZARIN	60MEW57T9G
952	ARBUTIN	C5INA23HXF
953	BENZOPHENONE	701M4TTV9O
954	BENZYL CINNAMATE	V67O3RO97U
960	CEPHARANTHINE	7592YJ0J6T
964	CYPHENOTHRIN	S0IU5Y1R32
967	DICHLOROBENZYL ALCOHOL	1NKX3648J9
971	ESCULIN	1Y1L18LQAF
974	ETHYL PIPERIDINOACETYLAMINOBENZOATE	6M452G7O1F
977	FIPRONIL	QGH063955F
981	GLYCERYL 1-PHOSPHATE	9NTI6P3O4X
982	GUAIAZULENE	2OZ1K9JKQC
985	IMIPROTHRIN	73OFA861WY
986	INDOLE	8724FJW4M5
987	ISOEUGENOL	5M0MWY797U
